Name,תגיות,קורס,מטלות,תאריך יצירה
עוד מאמר,,,,"July 20, 2023 10:17 PM"
חומר חדש מהטלפון,,,,"July 20, 2023 10:17 PM"
מאמר מעניין,,לוגיקה למדעי המחשב (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%9C%D7%95%D7%92%D7%99%D7%A7%D7%94%20%D7%9C%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%20cc6a35404fae40a3b15735c40b05d768.md),ממן 12 (%D7%9E%D7%98%D7%9C%D7%95%D7%AA/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%9E%D7%98%D7%9C%D7%95%D7%AA/%D7%9E%D7%9E%D7%9F%2012%20ce613eff87ee4dc3a2ad4be25241bc44.md),"July 20, 2023 10:17 PM"
איך כותבים שפה פורמלית,,אוטומטים ושפות פורמליות (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%90%D7%95%D7%98%D7%95%D7%9E%D7%98%D7%99%D7%9D%20%D7%95%D7%A9%D7%A4%D7%95%D7%AA%20%D7%A4%D7%95%D7%A8%D7%9E%D7%9C%D7%99%D7%95%D7%AA%203a9795e27ff94c5492d9bda507aa18ed.md),ממן 14 (%D7%9E%D7%98%D7%9C%D7%95%D7%AA/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%9E%D7%98%D7%9C%D7%95%D7%AA/%D7%9E%D7%9E%D7%9F%2014%20f9bdfd6e68c54f9bb7b3ed6e6db46e03.md),"July 20, 2023 10:52 PM"
שפה רגולרית,,אוטומטים ושפות פורמליות (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%90%D7%95%D7%98%D7%95%D7%9E%D7%98%D7%99%D7%9D%20%D7%95%D7%A9%D7%A4%D7%95%D7%AA%20%D7%A4%D7%95%D7%A8%D7%9E%D7%9C%D7%99%D7%95%D7%AA%203a9795e27ff94c5492d9bda507aa18ed.md),ממח 21 (%D7%9E%D7%98%D7%9C%D7%95%D7%AA/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%9E%D7%98%D7%9C%D7%95%D7%AA/%D7%9E%D7%9E%D7%97%2021%20e6c4fcd5ed274241892162914345263a.md),"July 20, 2023 10:52 PM"
אם ורק אם,,לוגיקה למדעי המחשב (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%9C%D7%95%D7%92%D7%99%D7%A7%D7%94%20%D7%9C%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%20cc6a35404fae40a3b15735c40b05d768.md),,"July 20, 2023 10:52 PM"
חומרים,,סמינר בהנדסת תוכנה‏ (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%A1%D7%9E%D7%99%D7%A0%D7%A8%20%D7%91%D7%94%D7%A0%D7%93%D7%A1%D7%AA%20%D7%AA%D7%95%D7%9B%D7%A0%D7%94%E2%80%8F%209ac4d413e6824dfe9222ffdc4515ecd8.md),,"July 20, 2023 10:52 PM"
אסמבלי,,מערכות הפעלה (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%9E%D7%A2%D7%A8%D7%9B%D7%95%D7%AA%20%D7%94%D7%A4%D7%A2%D7%9C%D7%94%20c44f5d414259443c87862840690cfd5a.md),,"July 20, 2023 10:52 PM"
עקרונות,,עקרונות פיתוח מערכות מידע (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%A2%D7%A7%D7%A8%D7%95%D7%A0%D7%95%D7%AA%20%D7%A4%D7%99%D7%AA%D7%95%D7%97%20%D7%9E%D7%A2%D7%A8%D7%9B%D7%95%D7%AA%20%D7%9E%D7%99%D7%93%D7%A2%20ee0ae6e36a47419ab8ad7c9668b94bd0.md),,"July 20, 2023 10:52 PM"
סירטונים מעניינים על משוואות לינאריות,,אלגברה לינארית 1 (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%90%D7%9C%D7%92%D7%91%D7%A8%D7%94%20%D7%9C%D7%99%D7%A0%D7%90%D7%A8%D7%99%D7%AA%201%20ab382ee04ed646d393c58570565f048d.md),,"July 20, 2023 10:52 PM"
