חומרים,קורס,תאריך,ציון
אוטומטים ושפות פורמליות,אוטומטים ושפות פורמליות (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%90%D7%95%D7%98%D7%95%D7%9E%D7%98%D7%99%D7%9D%20%D7%95%D7%A9%D7%A4%D7%95%D7%AA%20%D7%A4%D7%95%D7%A8%D7%9E%D7%9C%D7%99%D7%95%D7%AA%203a9795e27ff94c5492d9bda507aa18ed.csv),"December 1, 2023",
לוגיקה למדעי המחשב,לוגיקה למדעי המחשב (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%9C%D7%95%D7%92%D7%99%D7%A7%D7%94%20%D7%9C%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%20cc6a35404fae40a3b15735c40b05d768.csv),"October 1, 2023",
מערכות בסיסי-נתונים,מערכות בסיסי-נתונים (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%9E%D7%A2%D7%A8%D7%9B%D7%95%D7%AA%20%D7%91%D7%A1%D7%99%D7%A1%D7%99-%D7%A0%D7%AA%D7%95%D7%A0%D7%99%D7%9D%203843a77e9d334092b621cef89cdeec0b.csv),"June 16, 2023",90
הסתברות לתלמידי מדעי המחשב,הסתברות לתלמידי מדעי המחשב (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%94%D7%A1%D7%AA%D7%91%D7%A8%D7%95%D7%AA%20%D7%9C%D7%AA%D7%9C%D7%9E%D7%99%D7%93%D7%99%20%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%20cde88b1e5a1548aaad58620a07d3024f.csv),"June 15, 2023",87
ארגון המחשב,ארגון המחשב (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%90%D7%A8%D7%92%D7%95%D7%9F%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%2014ab2c928d8d498b9dc00d1231182692.csv),"May 19, 2023",88
מערכות ספרתיות,מערכות ספרתיות (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%9E%D7%A2%D7%A8%D7%9B%D7%95%D7%AA%20%D7%A1%D7%A4%D7%A8%D7%AA%D7%99%D7%95%D7%AA%2004b0a1e2ac93490eb5e06eb8c14e9be7.csv),"May 18, 2023",87
מעבדה בתכנות מערכות,מעבדה בתכנות מערכות (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%9E%D7%A2%D7%91%D7%93%D7%94%20%D7%91%D7%AA%D7%9B%D7%A0%D7%95%D7%AA%20%D7%9E%D7%A2%D7%A8%D7%9B%D7%95%D7%AA%200c7637e619e0478ab72252c512e5ea1a.csv),"May 18, 2023",99
חשבון אינפיניטסימלי 2,חשבון אינפיניטסימלי 2 (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%97%D7%A9%D7%91%D7%95%D7%9F%20%D7%90%D7%99%D7%A0%D7%A4%D7%99%D7%A0%D7%99%D7%98%D7%A1%D7%99%D7%9E%D7%9C%D7%99%202%2078396cece0d04382817b8351521d1b41.csv),"April 28, 2023",76
אשנב למתמטיקה‬,אשנב למתמטיקה‬ (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%90%D7%A9%D7%A0%D7%91%20%D7%9C%D7%9E%D7%AA%D7%9E%D7%98%D7%99%D7%A7%D7%94%E2%80%AC%206bb3d4223b2746378606072be91f139f.csv),"April 28, 2023",75
חשבון אינפיניטסימלי 1,חשבון אינפיניטסימלי 1 (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%97%D7%A9%D7%91%D7%95%D7%9F%20%D7%90%D7%99%D7%A0%D7%A4%D7%99%D7%A0%D7%99%D7%98%D7%A1%D7%99%D7%9E%D7%9C%D7%99%201%202099df9494324891b2eabfefc55aa161.csv),"April 14, 2023",86
אלגברה לינארית 2,אלגברה לינארית 2 (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%90%D7%9C%D7%92%D7%91%D7%A8%D7%94%20%D7%9C%D7%99%D7%A0%D7%90%D7%A8%D7%99%D7%AA%202%20864fa04e2f67499d9089cf1a0044fea1.csv),"April 13, 2023",66
מבני נתונים ומבוא לאלגוריתמים,מבני נתונים ומבוא לאלגוריתמים (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%9E%D7%91%D7%A0%D7%99%20%D7%A0%D7%AA%D7%95%D7%A0%D7%99%D7%9D%20%D7%95%D7%9E%D7%91%D7%95%D7%90%20%D7%9C%D7%90%D7%9C%D7%92%D7%95%D7%A8%D7%99%D7%AA%D7%9E%D7%99%D7%9D%207135ab014d0a4915bdce56fb3fc990b9.csv),"April 6, 2023",90
מתמטיקה בדידה,מתמטיקה בדידה (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%9E%D7%AA%D7%9E%D7%98%D7%99%D7%A7%D7%94%20%D7%91%D7%93%D7%99%D7%93%D7%94%20310f89dbcca74a78b528c34991532b08.csv),"March 25, 2023",85
אלגברה לינארית 1,אלגברה לינארית 1 (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%90%D7%9C%D7%92%D7%91%D7%A8%D7%94%20%D7%9C%D7%99%D7%A0%D7%90%D7%A8%D7%99%D7%AA%201%20ab382ee04ed646d393c58570565f048d.csv),"March 16, 2023",69
מבוא למדעי המחשב ושפת Java,מבוא למדעי המחשב ושפת Java (%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D/%D7%9E%D7%91%D7%95%D7%90%20%D7%9C%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%20%D7%95%D7%A9%D7%A4%D7%AA%20Java%209fe137650d9d4fcc9175e42bcc55e546.csv),"March 16, 2023",94
