שם הקורס,מספר קורס,פקולטה,נקודות זכות,סוג,רמה,סטאטוס,הערות
מתמטיקה בדידה,20476,מתמטיקה,4,חובה,ר,עובר,
אלגברה לינארית 1,20109,מתמטיקה,6,חובה,ר,עובר,
מבוא למדעי המחשב ושפת Java,20441,מדעי המחשב,6,חובה,ר,עובר,
אלגברה לינארית 2,20229,מתמטיקה,4,חובה,ר,עובר,
מבני נתונים ומבוא לאלגוריתמים,20407,מדעי המחשב,6,חובה,ר,עובר,
חשבון אינפיניטסימלי 1,20474,מתמטיקה,6,חובה,ר,עובר,
אשנב למתמטיקה‬,4101,,6,בחירה,,עובר,
חשבון אינפיניטסימלי 2,20475,מתמטיקה,6,חובה,ר,עובר,
מעבדה בתכנות מערכות,20465,מדעי המחשב,3,חובה,ר,עובר,
מערכות ספרתיות,20272,מדעי המחשב,3,חובה,ר,עובר,לעשות לפני לוגיקה ואוטומטים
ארגון המחשב,20471,מדעי המחשב,3,חובה,ר,עובר,
מערכות בסיסי-נתונים,20277,מדעי המחשב,4,בחירה,ר,עובר,לשקול לקחת בקיץ 2019ג'
הסתברות לתלמידי מדעי המחשב,20425,מתמטיקה,4,חובה,ר,עובר,
לוגיקה למדעי המחשב,20466,מתמטיקה,4,חובה,ר,בלימוד,
אוטומטים ושפות פורמליות,20440,מדעי המחשב,4,חובה,ר,בלימוד,לעשות לפני אלגוריתמים
סדנה במדעי הנתונים,20936,מדעי המחשב,4,סמינר,מ,,
מבוא לרשתות תקשורת מחשבים,20582,מדעי המחשב,6,בחירה,מ,,לעשות אותו כי הוא הרבה נקז
אלגוריתמים,20417,מדעי המחשב,4,חובה,ר,,"קורס קשה, לשקול לעשות בסמסטר ניפרד"
עיבוד תמונה,22913,מדעי המחשב,4,תואר שני,,,
שפת פרולוג והיבטים לבינה מלאכותית,20596,מדעי המחשב,4,בחירה,מ,,
מבוא לתורת החישוביות והסיבוכיות,20585,מדעי המחשב,4,חובה,מ,,לעשות אחרי אוטומטים
עקרונות פיתוח מערכות מידע,20436,מדעי המחשב,4,בחירה,ר,,
מערכות הפעלה,20594,מדעי המחשב,4,חובה,מ,,לא לשמור לסוף התואר
תכנות מתקדם בשפת Java,20554,מדעי המחשב,4,בחירה,מ,,
סמינר בהנדסת תוכנה‏,20368,מדעי המחשב,3,סמינר,,,
