שם הקורס,הערות,חומרים,חומרים 1,מספר קורס,נקודות זכות,סוג,סטאטוס,סמסטר,פקולטה,ציון(לא לגעת),רמה,רשימת מבחנים,שנה
מתמטיקה בדידה,,"Untitled (https://app.notion.com/p/b5453f8235174a48bec5a0b8810e0d8c?pvs=21), Untitled (https://app.notion.com/p/35689d2edb534e16a67757700dc08d63?pvs=21), Untitled (https://app.notion.com/p/737672c4b6c148f3b09c5938f4140bbc?pvs=21)",,20476,4,חובה,עובר,ג,מתמטיקה,85,ר,מתמטיקה בדידה (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%9E%D7%91%D7%97%D7%A0%D7%99%D7%9D/%D7%9E%D7%AA%D7%9E%D7%98%D7%99%D7%A7%D7%94%20%D7%91%D7%93%D7%99%D7%93%D7%94%20e077c6bf060b4df2b4b8bb62a7fd8d46.md),2019
סמינר בהנדסת תוכנה‏,,,חומרים (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%97%D7%95%D7%9E%D7%A8%D7%99%D7%9D/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%97%D7%95%D7%9E%D7%A8%D7%99%D7%9D/%D7%97%D7%95%D7%9E%D7%A8%D7%99%D7%9D%20582a31ace77c40c9a8e340bbf4f835a2.md),20368,3,סמינר,,ג,מדעי המחשב,,,,2022
תכנות מתקדם בשפת Java,,,,20554,4,בחירה,,ב,מדעי המחשב,,מ,,2022
מערכות הפעלה,לא לשמור לסוף התואר,,אסמבלי (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%97%D7%95%D7%9E%D7%A8%D7%99%D7%9D/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%97%D7%95%D7%9E%D7%A8%D7%99%D7%9D/%D7%90%D7%A1%D7%9E%D7%91%D7%9C%D7%99%20dc19894337654c3eab2cbb520ff7c4f7.md),20594,4,חובה,,ב,מדעי המחשב,,מ,,2021
עקרונות פיתוח מערכות מידע,,,עקרונות (%D7%AA%D7%95%D7%90%D7%A8%20%D7%91%D7%9E%D7%93%D7%A2%D7%99%20%D7%94%D7%9E%D7%97%D7%A9%D7%91%202023/%D7%97%D7%95%D7%9E%D7%A8%D7%99%D7%9D/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%97%D7%95%D7%9E%D7%A8%D7%99%D7%9D/%D7%A2%D7%A7%D7%A8%D7%95%D7%A0%D7%95%D7%AA%209e4b63c22893496a9febb7112e8087c5.md),20436,4,בחירה,,ב,מדעי המחשב,,ר,,2021
מבוא לתורת החישוביות והסיבוכיות,לעשות אחרי אוטומטים,,,20585,4,חובה,,א,מדעי המחשב,,מ,,2021
שפת פרולוג והיבטים לבינה מלאכותית,,,,20596,4,בחירה,,א,מדעי המחשב,,מ,,2021
עיבוד תמונה,,,,22913,4,תואר שני,,א,מדעי המחשב,,,,2021
אלגוריתמים,"קורס קשה, לשקול לעשות בסמסטר ניפרד",,,20417,4,חובה,,ג,מדעי המחשב,,ר,,2020
מבוא לרשתות תקשורת מחשבים,לעשות אותו כי הוא הרבה נקז,,,20582,6,בחירה,,ב,מדעי המחשב,,מ,,2020
