departmentcode,sitetype,sitecode,source,validated,httpStatus,responseBytes,pageUrl
306,1,306,inferred-department,true,200,15530,
306,2,4120,course-page,true,200,14031,https://academic.openu.ac.il/natural_sciences/chemistry/pages/courses.aspx
306,2,4130,course-page,true,200,14172,https://academic.openu.ac.il/natural_sciences/physics/pages/courses.aspx
306,2,4320,course-page,true,200,12901,https://academic.openu.ac.il/natural_sciences/life/pages/courses.aspx
307,1,307,inferred-department,true,200,14781,
307,2,1310,course-page,true,200,12033,https://academic.openu.ac.il/cs/industrial_engineering/pages/courses.aspx
307,2,1330,course-page,true,200,9847,https://academic.openu.ac.il/cs/software_engineering/pages/courses.aspx
307,2,4520,course-page,true,200,17041,https://academic.openu.ac.il/cs/mathematics/pages/courses.aspx
307,2,4720,course-page,true,200,14776,https://academic.openu.ac.il/cs/computer/pages/courses.aspx
307,3,01,course-page,true,200,13956,https://academic.openu.ac.il/cs/msc/pages/courses.aspx
308,1,308,inferred-department,true,200,16237,
308,2,1530,course-page,true,200,17104,https://academic.openu.ac.il/sociology/sociology/pages/courses.aspx
308,2,1535,course-page,true,200,15405,https://academic.openu.ac.il/sociology/communication/pages/courses.aspx
308,2,1570,course-page,true,200,17840,https://academic.openu.ac.il/sociology/political_science/pages/courses.aspx
311,1,311,inferred-department,true,200,14553,
311,2,1540,course-page,true,200,15296,https://academic.openu.ac.il/education_psychology/psychology/pages/courses.aspx
311,2,1550,course-page,true,200,15845,https://academic.openu.ac.il/education_psychology/education/pages/courses.aspx
311,3,05,course-page,true,200,16853,https://academic.openu.ac.il/education_psychology/ma/pages/courses.aspx
331,1,331,course-page,true,200,12743,https://academic.openu.ac.il/arts/pages/courses.aspx
331,2,1150,course-page,true,200,14693,https://academic.openu.ac.il/arts/literature/pages/courses.aspx
331,2,1158,course-page,true,200,13571,https://academic.openu.ac.il/arts/cinema/pages/courses.aspx
331,2,1170,course-page,true,200,10045,https://academic.openu.ac.il/arts/music/pages/courses.aspx
331,2,1180,course-page,true,200,13080,https://academic.openu.ac.il/arts/arts/pages/courses.aspx
332,1,332,inferred-department,true,200,12584,
332,2,1120,course-page,true,200,15123,https://academic.openu.ac.il/history/judaism/pages/courses.aspx
332,2,1190,course-page,true,200,15132,https://academic.openu.ac.il/history/philosophy/pages/courses.aspx
332,2,1200,course-page,true,200,14555,https://academic.openu.ac.il/history/history/pages/courses.aspx
341,1,341,course-page,true,200,17039,https://academic.openu.ac.il/economics/pages/courses.aspx
341,2,1520,course-page,true,200,15192,https://academic.openu.ac.il/economics/economy/pages/courses.aspx
341,2,1560,course-page,true,200,16919,https://academic.openu.ac.il/economics/management/pages/courses.aspx
341,2,1564,course-page,true,200,17727,https://academic.openu.ac.il/economics/accounting/pages/courses.aspx
